rank,company_name,tax_type,amount,balance,filed_date,county,state,source,source_url,scraped_at
66,"BARRAJA, INC.",Corporation,674.16,1002196.14,Jul,NEW YORK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.208359
23,INNOVATIONS INC.,Sales and,17.0,254389.81,Apr,NEW YORK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.208376
23,INNOVATIONS INC.,Withholding,16.0,13383.51,Apr,NEW YORK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.219589
68,SKY MATERIALS CORP.,Corporation,12905.88,991116.71,Nov,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.219611
69,BEDNARK STUDIO INC.,Corporation,6751.24,982624.25,Dec,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.219629
70,SECURE GREEN INC.,Corporation,716.05,980930.2,Jun,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.219647
73,JH WINE & LIQUOR CORP,Corporation,2463.94,956763.37,May,NEW YORK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.230494
74,GRAND AUTOMOTIVE INC. TRADING AS PLANET MITSUBISHI,Sales and,,,,,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.230526
75,MARACAS CLUB AND RESTAURANT LLC,Corporation,50.0,922273.55,Jul,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.230544
75,MARACAS CLUB AND RESTAURANT LLC,Corporation,2414.1,922273.55,Oct,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.241234
76,CHESTER STREET COLLISION INC.,Corporation,2770.35,921490.65,Jun,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.241265
77,NYC MOTORCARS OF FREEPORT CORP. TRADING AS ZERO DOWN AUTO,Sales and,588650.64,918459.48,Jul,NASSAU,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.241288
78,"SRGL, INC. TRADING AS SWIFTY'S RESTAURANT AND PUB",Sales and,425991.63,910349.71,Feb,ALBANY,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.241310
79,"PNEUCO, INC.",Corporation,151.31,903596.29,Jan,ERIE,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.241327
81,PENNKRAFT BUILDING SYSTEMS LLC,Sales and,250.0,899104.23,Oct,ALBANY,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.252591
83,FAT BOYS PIZZA INC.,Corporation,2818.94,895891.68,Mar,ONTARIO,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.252618
85,FA & PARTNERS INC.,Sales and,888895.01,888895.01,May,RICHMOND,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.263583
86,WIPE IT DOWN COMMERCIAL CLEANING INC.,Corporation,1521.94,883340.56,Nov,MONROE,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.263604
